n,tag,stem,species,year_cored,dbh_previous_mm,status_when_cored,height_of_core,cardinal_direction_core,date_cored,collected_by,collection_notes,mounted,sanded,mounting_sanding_notes,scanned,measured,measurement_notes,dated,dated_by,current_location,excluded
,180791,1,cagl,2021,,D,,,10/16/21,Ryan Helcoski/ Jen Jordan,,,,,,,,,,,
,60161,1,qupr,2021,,D,,,9/11/21,Ryan Helcoski/ Jen Jordan,"** 2 stems at DBH, but marked in survey as 1 stem ** This complicates coring. Do not use this core.",,,,,,,,,,1
,192570,1,fram,2021,,D,,,9/11/21,Ryan Helcoski/ Jen Jordan,,,,,,,,,,,
,150756,1,prse,2021,,AU,,,10/16/21,Ryan Helcoski/ Jen Jordan,One main branch alive w/leaves.,,,,,,,,,,
,111292,1,fram,2021,,D,,,9/11/21,Ryan Helcoski/ Jen Jordan,,,,,,,,,,,
,121358,1,fram,2021,,D,,,9/11/21,Ryan Helcoski/ Jen Jordan,,,,,,,,,,,
,112060,1,fram,2021,,D,,,9/11/21,Ryan Helcoski/ Jen Jordan,,,,,,,,,,,
,132524,1,litu,2021,,D,,,9/11/21,Ryan Helcoski/ Jen Jordan,,,,,,,,,,,
,92347,1,quru,2021,,D,,,9/11/21,Ryan Helcoski/ Jen Jordan,,,,,,,,,,,
,22333,1,fram,2021,,D,,,9/11/21,Ryan Helcoski/ Jen Jordan,,,,,,,,,,,
,92487,1,quve,2021,,D,,,9/11/21,Ryan Helcoski/ Jen Jordan,,,,,,,,,,,
,180686,1,ceca,2021,,D,,,10/16/21,Ryan Helcoski/ Jen Jordan,,,,,,,,,,,
,172384,1,ceca,2021,,D,,,9/11/21,Ryan Helcoski/ Jen Jordan,,,,,,,,,,,
,12147,1,ceca,2021,,D,,,9/11/21,Ryan Helcoski/ Jen Jordan,,,,,,,,,,,
,132293,1,ceca,2021,,D,,,9/11/21,Ryan Helcoski/ Jen Jordan,,,,,,,,,,,
,152216,1,ceca,2021,,D,,,9/11/21,Ryan Helcoski/ Jen Jordan,,,,,,,,,,,
,152198,1,ceca,2021,,D,,,9/11/21,Ryan Helcoski/ Jen Jordan,,,,,,,,,,,
,32351,1,cofl,2021,,D,,,9/11/21,Ryan Helcoski/ Jen Jordan,,,,,,,,,,,
,172627,1,cofl,2021,,D,,,9/11/21,Ryan Helcoski/ Jen Jordan,,,,,,,,,,,
,20122,1,prav,2021,,D,,,9/11/21,Ryan Helcoski/ Jen Jordan,,,,,,,,,,,
,50386,2,quve,2021,,D,,,10/16/21,Ryan Helcoski/ Jen Jordan,,,,,,,,,,,
,50386,1,quve,2021,,D,,,10/16/21,Ryan Helcoski/ Jen Jordan,,,,,,,,,,,
,130991,1,quve,2021,,D,,,10/16/21,Ryan Helcoski/ Jen Jordan,,,,,,,,,,,
,140733,1,quve,2021,,D,,,10/16/21,Ryan Helcoski/ Jen Jordan,,,,,,,,,,,
,160795,1,quve,2021,,D,,,10/16/21,Ryan Helcoski/ Jen Jordan,,,,,,,,,,,
,50047,,litu,2021,,D,,,10/16/21,Ryan Helcoski/ Jen Jordan,,,,,,,,,,,